Source_feature,Target_construct,Weight,Rationale,Citation_id
zero_crossing_rate,muscle_integrity_index,-0.21,"Real logistic-regression log-odds coefficient ln(OR 0.81)=-0.21 from JMIR 2024 predicting a BINARY energy-based frailty phenotype, not a continuous strength score; using it in a linear weighted-sum toward a continuous 0-100 construct is our modeling simplification, not validated by the paper. Sign: ZCR up -> lower frailty odds.",EV001
shimmer,muscle_integrity_index,0.29,"Real logistic-regression log-odds coefficient ln(OR 1.34)=0.29 from JMIR 2024 predicting a BINARY sarcopenia-based frailty phenotype, not a continuous strength score; using it in a linear weighted-sum toward a continuous 0-100 construct is our modeling simplification, not validated by the paper. Sign: amplitude variation up -> higher frailty odds.",EV001
jitter,vocal_stability_index,-0.4,"illustrative - no published coefficient for this specific mapping; jitter is a primary cycle-to-cycle instability driver, weighted higher than secondary features.",
shimmer,vocal_stability_index,-0.35,"illustrative - no published coefficient for this specific mapping; amplitude perturbation, secondary driver.",
f0_cv,vocal_stability_index,-0.25,"illustrative - no published coefficient for this specific mapping; pitch coefficient-of-variation, secondary driver.",
hnr,phonation_efficiency,0.5,"illustrative - no published coefficient for this specific mapping; harmonics-to-noise ratio is the primary driver of clean phonation.",
jitter,phonation_efficiency,-0.3,"illustrative - no published coefficient for this specific mapping; frequency perturbation degrades phonation efficiency.",
shimmer,phonation_efficiency,-0.2,"illustrative - no published coefficient for this specific mapping; amplitude perturbation, secondary.",
voiced_ratio,respiratory_support_index,0.45,"illustrative - no published coefficient for this specific mapping; sustained voicing reflects breath support, primary driver.",
pause_ratio,respiratory_support_index,-0.35,"illustrative - no published coefficient for this specific mapping; more pausing implies weaker breath support.",
energy,respiratory_support_index,0.2,"illustrative - no published coefficient for this specific mapping; vocal energy, secondary contributor to breath support.",
speech_rate,motor_coordination_index,0.4,"illustrative - no published coefficient for this specific mapping; speech rate reflects articulatory motor control, primary driver.",
pause_ratio,motor_coordination_index,-0.3,"illustrative - no published coefficient for this specific mapping; excessive pausing signals coordination difficulty.",
jitter,motor_coordination_index,-0.3,"illustrative - no published coefficient for this specific mapping; timing perturbation reflects motor instability.",
alpha_ratio,resonance_stability,0.6,"illustrative - no published coefficient for this specific mapping; alpha ratio (spectral tilt) is the primary resonance/vocal-tract descriptor.",
hnr,resonance_stability,0.4,"illustrative - no published coefficient for this specific mapping; harmonic clarity supports stable resonance.",
vocal_stability_index,fatigue_index,-0.5,"illustrative - no published coefficient for this specific mapping; loss of vocal stability is the strongest fatigue signal (inverse).",
respiratory_support_index,fatigue_index,-0.5,"illustrative - no published coefficient for this specific mapping; declining breath support is the other main fatigue signal (inverse).",
muscle_integrity_index,functional_capacity,0.45,"illustrative - no published coefficient for this specific mapping; muscle integrity is the primary functional-capacity driver.",
respiratory_support_index,functional_capacity,0.3,"illustrative - no published coefficient for this specific mapping; breath support contributes to functional capacity.",
motor_coordination_index,functional_capacity,0.25,"illustrative - no published coefficient for this specific mapping; motor coordination contributes to functional capacity.",
functional_capacity,strength_score,0.6,"illustrative - no published coefficient for this specific mapping; functional capacity is the dominant contributor to the final 0-100 strength score.",
fatigue_index,strength_score,-0.2,"illustrative - no published coefficient for this specific mapping; higher fatigue reduces the strength score.",
phonation_efficiency,strength_score,0.2,"illustrative - no published coefficient for this specific mapping; phonation efficiency contributes to overall strength.",
